Drug Regimen,Timepoint,Tumor Volume (mm3),Metastatic Sites,Age_months,Weight (g)
Infubinol,35,60.742461225833324,1.6666666666666667,18.0,26.916666666666668
Infubinol,40,63.162824422999996,2.1,19.0,26.9
Infubinol,45,65.75556227777777,2.111111111111111,18.555555555555557,26.666666666666668
Ketapril,0,45.0,0.0,14.72,28.08
Ketapril,5,47.38917452086955,0.30434782608695654,15.304347826086957,28.08695652173913
Ketapril,10,49.582268975000005,0.5909090909090909,15.454545454545455,28.0
Ketapril,15,52.399973742631566,0.8421052631578947,15.631578947368421,27.68421052631579
Ketapril,20,54.920934738421046,1.2105263157894737,15.631578947368421,27.68421052631579
Ketapril,25,57.67898171789474,1.631578947368421,15.631578947368421,27.68421052631579
Ketapril,30,60.994507193888886,2.0555555555555554,16.333333333333332,27.77777777777778
Ketapril,35,63.37168604647057,2.2941176470588234,16.0,27.941176470588236
Ketapril,40,66.06858034866666,2.7333333333333334,16.533333333333335,27.733333333333334
Ketapril,45,70.66295760818181,3.3636363636363638,16.272727272727273,27.727272727272727
Naftisol,0,45.0,0.0,12.24,27.24
Naftisol,5,46.7960980973913,0.2608695652173913,12.391304347826088,27.08695652173913
Naftisol,10,48.694209604761916,0.5238095238095238,11.571428571428571,27.19047619047619
Naftisol,15,50.93301827619048,0.8571428571428571,11.571428571428571,27.19047619047619
Naftisol,20,53.644087443500005,1.15,11.95,27.25
Naftisol,25,56.731967581666666,1.5,11.722222222222221,27.11111111111111
Naftisol,30,59.559508558,2.066666666666667,12.133333333333333,27.133333333333333
Naftisol,35,62.685086947333325,2.2666666666666666,12.133333333333333,27.133333333333333
Naftisol,40,65.60075373599999,2.466666666666667,12.133333333333333,27.133333333333333
Naftisol,45,69.26550621153847,2.5384615384615383,12.23076923076923,27.153846153846153
Placebo,0,45.0,0.0,10.68,28.04
Placebo,5,47.12558918833333,0.375,10.333333333333334,27.958333333333332
Placebo,10,49.423329478333336,0.8333333333333334,10.333333333333334,27.958333333333332
Placebo,15,51.35974169800001,1.25,10.3,28.2
Placebo,20,54.36441702684211,1.5263157894736843,10.578947368421053,28.105263157894736
Placebo,25,57.48257374470587,1.9411764705882353,10.647058823529411,27.88235294117647
Placebo,30,59.80906318600001,2.2666666666666666,10.6,27.8
Placebo,35,62.42061506785715,2.642857142857143,11.214285714285714,27.714285714285715
Placebo,40,65.05267500500001,3.1666666666666665,12.166666666666666,27.5
Placebo,45,68.08408221818182,3.272727272727273,11.818181818181818,27.727272727272727
Propriva,0,45.0,0.0,9.416666666666666,27.291666666666668
Propriva,5,47.16812966391303,0.34782608695652173,9.652173913043478,27.217391304347824
Propriva,10,48.93855978428572,0.6190476190476191,9.80952380952381,27.19047619047619
Propriva,15,50.891769482666675,0.8,9.466666666666667,27.066666666666666
Propriva,20,53.12738420866666,1.0,9.466666666666667,27.066666666666666
Propriva,25,55.46248950230768,1.3846153846153846,10.384615384615385,26.846153846153847
Propriva,30,58.1225475125,1.6666666666666667,10.75,26.916666666666668
Propriva,35,60.103456764444445,2.3333333333333335,10.777777777777779,27.22222222222222
Propriva,40,63.04553675444444,2.7777777777777777,10.777777777777779,27.22222222222222
Propriva,45,66.25852868857143,2.5714285714285716,12.142857142857142,27.142857142857142
Ramicane,0,45.0,0.0,10.84,20.0
Ramicane,5,43.9448593996,0.12,10.84,20.0
Ramicane,10,42.531957295000005,0.25,11.083333333333334,19.833333333333332
Ramicane,15,41.49506092208333,0.3333333333333333,11.083333333333334,19.833333333333332
Ramicane,20,40.23832485782609,0.34782608695652173,10.73913043478261,19.652173913043477
Ramicane,25,38.974299560869554,0.6521739130434783,10.73913043478261,19.652173913043477
Ramicane,30,38.703137338695655,0.782608695652174,10.73913043478261,19.652173913043477
Ramicane,35,37.45199634428571,0.9523809523809523,10.428571428571429,19.38095238095238
Ramicane,40,36.574080676,1.1,10.05,19.3
Ramicane,45,34.955594792,1.25,10.05,19.3
Stelasyn,0,45.0,0.0,13.125,27.875
Stelasyn,5,47.47083036130435,0.2608695652173913,13.08695652173913,27.91304347826087
Stelasyn,10,49.33536774285715,0.5238095238095238,12.285714285714286,27.80952380952381
Stelasyn,15,51.44802518142857,0.8095238095238095,12.285714285714286,27.80952380952381
Stelasyn,20,53.97008004684211,0.9473684210526315,12.842105263157896,27.842105263157894
Stelasyn,25,56.17282105277778,1.1666666666666667,13.11111111111111,27.88888888888889
Stelasyn,30,59.87052840352942,1.411764705882353,13.411764705882353,28.0
Stelasyn,35,62.43202078933333,1.5333333333333334,12.733333333333333,28.0
Stelasyn,40,65.35638597500001,1.5833333333333333,11.916666666666666,27.75
Stelasyn,45,68.43831043090908,1.7272727272727273,12.727272727272727,27.545454545454547
Zoniferol,0,45.0,0.0,12.6,27.92
Zoniferol,5,46.85181826583334,0.16666666666666666,12.916666666666666,27.833333333333332
Zoniferol,10,48.68988143454545,0.5,12.363636363636363,27.636363636363637
Zoniferol,15,50.77905905047619,0.8095238095238095,11.952380952380953,27.61904761904762
Zoniferol,20,53.17033369000001,1.2941176470588236,12.235294117647058,27.58823529411765
Zoniferol,25,55.43293487374999,1.6875,12.5,27.6875
Zoniferol,30,57.713530924666664,1.9333333333333333,12.533333333333333,27.733333333333334
Zoniferol,35,60.08937222071429,2.2857142857142856,13.071428571428571,27.571428571428573
Zoniferol,40,62.91669187642857,2.7857142857142856,13.071428571428571,27.571428571428573
Zoniferol,45,65.96088788928571,3.0714285714285716,13.071428571428571,27.571428571428573
